Name,Brand,Display Size,Display Resolution,Camera Resolution,color,Operating System,Width,Weight
Huawei Honor X9 4G Premium Edition,Huawei,172.97,1080x2388,63.7,Titanium Silver,Google Android,75.78,189.0
Huawei Honor X9 Premium Edition,Huawei,172.97,1080x2388,48.0,Titanium Silver,Google Android,75.78,189.0
Huawei Mate Xs 2 4G,Huawei,165.0,1176x2480,50.3,Black,Google Android,75.5,255.0
Huawei Mate Xs 2 4G Premium Edition,Huawei,165.0,1176x2480,50.3,Black,Google Android,75.5,255.0
Huawei nova 10,Huawei,169.4,1080x2400,50.3,Black,Google Android,73.91,168.0
Huawei nova 9 SE 4G,Huawei,172.27,1080x2388,108.0,Midnight Black,Google Android,75.55,191.0
Huawei nova 9 SE 4G Premium Edition,Huawei,172.27,1080x2388,108.0,Midnight Black,Google Android,75.55,191.0
Huawei nova Y90,Huawei,170.0,1080x2388,50.3,Crystal Blue,Google Android,74.7,195.0
Huawei nova Y90 Premium Edition,Huawei,170.0,1080x2388,50.3,Crystal Blue,Google Android,74.7,195.0
Huawei P50E 4G,Huawei,165.0,1224x2700,50.3,Galaxy Blue,Google Android,73.8,181.0
Huawei TD Tech M40 5G,Huawei,165.1,1080x2376,50.3,Ceramic White,Google Android,72.5,188.0
Lenovo Legion Y70,Lenovo,169.4,1080x2400,50.3,Black,Google Android,77.02,209.0
Lenovo Legion Y70 Premium Edition,Lenovo,169.4,1080x2400,50.3,Black,Google Android,77.02,209.0
Lenovo Legion Y90,Lenovo,175.7,1080x2460,64.2,Gray,Google Android,78.4,252.0
Lenovo Legion Y90 Premium Edition,Lenovo,175.7,1080x2460,64.2,Gray,Google Android,78.4,252.0
Motorola G Power 3rd gen (2022),Motorola,165.81,720x1600,50.3,Black,Google Android,76.54,203.0
Motorola Moto E (2022),Motorola,165.0,720x1600,15.9,Black,Google Android,74.94,184.0
Motorola Moto Edge 30 (2022) Premium Edition,Motorola,166.3,1080x2400,50.3,Meteor Grey,Google Android,74.24,155.0
Motorola Moto Edge 30 Pro (2022),Motorola,169.4,1080x2400,50.3,Cosmos Blue,Google Android,75.95,196.0
Motorola Moto Edge+ (2022),Motorola,169.4,1080x2400,50.3,Cosmos Blue,Google Android,75.95,196.0
Motorola Moto G (2022),Motorola,166.4,1080x2400,108.0,Moonlight Gray,Google Android,74.4,170.0
Motorola Moto G (2022) Premium Edition,Motorola,166.4,1080x2400,108.0,Moonlight Gray,Google Android,74.4,166.0
Motorola Moto G 5G (2022),Motorola,165.0,720x1600,50.3,Moonlight Gray,Google Android,75.8,204.0
Motorola Moto G42 (2022),Motorola,162.5,1080x2400,50.3,Atlantic Green,Google Android,73.47,174.5
Motorola Moto G42 (2022) Premium Edition,Motorola,162.5,1080x2400,50.3,Atlantic Green,Google Android,73.47,174.5
Motorola Moto G52 (2022),Motorola,167.0,1080x2460,50.3,Charcoal Gray,Google Android,74.46,169.0
Motorola Moto G52 (2022) Premium Edition,Motorola,167.0,1080x2460,50.3,Charcoal Gray,Google Android,74.46,169.0
Motorola Moto G52j 5G (2022),Motorola,172.7,1080x2460,50.3,Charcoal Gray & Porcelain White,Google Android,76.8,206.0
Motorola Moto G62 5G (2022),Motorola,165.1,1080x2400,50.3,	Midnight Gray,Google Android,73.96,184.0
Nokia C2 (2nd Edition 2022),Nokia,145.0,480x960,4.9,Dark Blue,Google Android,75.9,180.0
Nokia C2 (2nd Edition 2022) Premium Edition,Nokia,145.0,480x960,4.9,Dark Blue,Google Android,75.9,180.0
Nokia C200 (2022),Nokia,154.6,720x1560,13.0,Meteor Black,Google Android,73.14,172.5
Nokia C21 (2022),Nokia,165.6,720x1600,8.0,Cross Black,Google Android,77.9,196.2
Nokia C21 Plus (2022),Nokia,165.53,720x1600,13.0,Dark Cyan,Google Android,75.9,191.0
Nokia C21 Plus (2022) Premium Edition,Nokia,165.53,720x1600,13.0,Dark Cyan,Google Android,75.9,191.0
Nothing Phone (1) 5G Premium Edition,Nothing,166.37,1080x2400,50.3,White,Google Android,75.8,193.5
OnePlus 10 Pro,OnePlus,170.2,1440x3216,48.0,Volcanic Black,Google Android,73.9,200.5
OnePlus 10 Pro 5G,OnePlus,170.2,1440x3216,48.0,Volcanic Black,Google Android,73.9,200.5
OnePlus 10 Pro Premium Edition,OnePlus,170.2,1440x3216,48.0,Volcanic Black,Google Android,73.9,200.5
OnePlus 10R (2022),OnePlus,170.2,1080x2412,50.3,Sierra Black,Google Android,75.6,188.0
OnePlus 10R (2022) Premium Edition,OnePlus,170.2,1080x2412,50.3,Sierra Black,Google Android,75.6,186.0
OnePlus Ace Racing 5G (2022) Premium Edition,OnePlus,167.3,1080x2412,63.7,Black,Google Android,74.8,205.0
OnePlus Nord 2T 5G,OnePlus,163.3,1080x2400,50.3,Gray Shadow,Google Android,73.2,190.0
OnePlus Nord 2T 5G Premium Edition,OnePlus,163.3,1080x2400,50.3,Gray Shadow,Google Android,73.2,190.0
OnePlus Nord CE 2,OnePlus,163.3,1080x2400,63.7,Gray Mirror,Google Android,73.2,173.0
OnePlus Nord CE 2 Lite (2022),OnePlus,167.3,1080x2412,64.1,Black Dusk,Google Android,75.6,195.0
OnePlus Nord CE 2 Lite (2022) Premium Edition,OnePlus,167.3,1080x2412,64.1,Black Dusk,Google Android,75.6,195.0
Oppo A57 (2022),Oppo,166.6,720x1612,13.0,Black,Google Android,75.1,186.0
Oppo A57 (2022) Premium Edition,Oppo,166.6,720x1612,13.0,Black,Google Android,75.1,186.0
Oppo A57 4G (2022),Oppo,166.6,720x1612,13.0,Glowing Black,Google Android,75.03,187.0
Oppo A57 4G (2022) Premium Edition,Oppo,166.6,720x1612,13.0,Glowing Black,Google Android,75.03,187.0
Oppo A57 5G (2022) Premium Edition,Oppo,166.6,720x1612,13.0,Black,Google Android,75.1,186.0
Oppo A57s (2022),Oppo,166.6,720x1612,50.1,Glowing Black,Google Android,75.03,187.0
Oppo A76 (2022) Premium Edition,Oppo,166.6,720x1612,13.0,Glowing Black,Google Android,75.7,189.0
Oppo A77 4G (2022),Oppo,166.6,720x1612,50.1,Ocean Blue,Google Android,75.03,187.0
Oppo A77 5G (2022),Oppo,166.6,720x1612,48.0,Ocean Blue,Google Android,75.1,190.0
Oppo A77 5G (2022) Premium Edition,Oppo,166.6,720x1612,48.0,Ocean Blue,Google Android,75.1,190.0
Oppo A77s 4G (2022),Oppo,166.6,720x1612,50.1,Sunset Orange,Google Android,75.03,187.0
Oppo A78 5G (2022),Oppo,166.6,720x1612,50.1,Glowing Black & Glowing Purple,Google Android,75.04,188.0
Oppo F21 Pro 5G (2022),Oppo,163.3,1080x2400,63.7,Rainbow Spectrum,Google Android,73.17,173.0
Oppo F21s Pro (2022),Oppo,163.3,1080x2400,63.7,Dawnlight Gold,Google Android,73.17,181.0
Oppo F21s Pro 4G (2022),Oppo,163.3,1080x2400,63.7,Dawnlight Gold,Google Android,73.2,188.0
Oppo Find X5,Oppo,166.37,1080x2400,50.3,Ceramic Black,Google Android,72.6,196.0
Oppo Find X5 Lite,Oppo,163.3,1080x2400,63.7,Starlight Black,Google Android,73.2,173.0
Oppo Find X5 Premium Edition,Oppo,166.37,1080x2400,50.3,Ceramic Black,Google Android,72.6,196.0
Samsung Galaxy Buddy 2 5G (2022),Samsung,167.2,1080x2408,50.3,Deep Green,Google Android,77.0,198.0
Samsung Galaxy F04 (2022) Premium Edition,Samsung,165.5,720x1600,13.0,Black,Google Android,75.9,188.0
Samsung Galaxy F13 (2022),Samsung,167.2,1080x2408,49.9,Waterfall Blue,Google Android,76.9,207.0
Samsung Galaxy F23 (2022),Samsung,167.6,1080x2408,50.1,Aqua Blue,Google Android,77.0,198.0
